date,index_code,index_name,close,pe_ttm,pe_static,pb,dividend_yield,bond_yield
2020-02-14,000015,上证红利,2576.2800,6.6700,6.7900,0.8200,7.8183,2.8631
2020-02-17,000015,上证红利,2625.8400,6.7600,6.8800,0.8300,7.7065,2.8928
2020-02-18,000015,上证红利,2621.5500,6.7100,6.8300,0.8200,7.7732,2.8664
2020-02-19,000015,上证红利,2621.7700,6.7300,6.8400,0.8300,7.7508,2.8776
2020-02-20,000015,上证红利,2660.5300,6.7900,6.9000,0.8300,7.6735,2.8857
2020-02-21,000015,上证红利,2676.0000,6.7800,6.9000,0.8300,7.6845,2.8470
2020-02-24,000015,上证红利,2656.8700,6.7200,6.8400,0.8200,7.7508,2.8120
2020-02-25,000015,上证红利,2624.3500,6.6700,6.7800,0.8200,7.8183,2.8220
2020-02-26,000015,上证红利,2631.9900,6.6900,6.8100,0.8200,7.7844,2.7973
2020-02-27,000015,上证红利,2627.9400,6.7100,6.8200,0.8200,7.7732,2.7702
2020-02-28,000015,上证红利,2549.5300,6.5800,6.6900,0.8100,7.9218,2.7376
2020-03-02,000015,上证红利,2636.9500,6.7100,6.8300,0.8200,7.7508,2.7428
2020-03-03,000015,上证红利,2640.2100,6.7300,6.8500,0.8300,7.7175,2.7478
2020-03-04,000015,上证红利,2665.8400,6.7500,6.8700,0.8300,7.6955,2.6730
2020-03-05,000015,上证红利,2690.0500,6.8300,6.9500,0.8400,7.6085,2.6829
2020-03-06,000015,上证红利,2658.8000,6.7500,6.8700,0.8300,7.6955,2.6280
2020-03-09,000015,上证红利,2591.0900,6.6400,6.7500,0.8100,7.8297,2.5205
2020-03-10,000015,上证红利,2631.2200,6.7000,6.8200,0.8200,7.7508,2.6130
2020-03-11,000015,上证红利,2610.0000,6.6500,6.7700,0.8200,7.8183,2.6079
2020-03-12,000015,上证红利,2574.5100,6.6100,6.7300,0.8100,7.8755,2.6379
2020-03-13,000015,上证红利,2528.1100,6.5300,6.6500,0.8000,7.9923,2.6759
2020-03-16,000015,上证红利,2464.5300,6.4400,6.5600,0.7900,8.1127,2.6758
2020-03-17,000015,上证红利,2451.0300,6.4400,6.5500,0.7900,8.1249,2.7135
2020-03-18,000015,上证红利,2411.7900,6.3500,6.4600,0.7800,8.2494,2.7136
2020-03-19,000015,上证红利,2375.5300,6.2100,6.3200,0.7600,8.4301,2.7299
2020-03-20,000015,上证红利,2400.1500,6.3000,6.4100,0.7700,8.3130,2.6815
2020-03-23,000015,上证红利,2321.8500,6.1700,6.2600,0.7600,8.4966,2.6315
2020-03-24,000015,上证红利,2375.1500,6.3300,6.4200,0.7800,8.2874,2.6289
2020-03-25,000015,上证红利,2433.1400,6.4100,6.5100,0.7900,8.1495,2.6289
2020-03-26,000015,上证红利,2408.6300,6.4000,6.5200,0.7800,8.1742,2.5940
2020-03-27,000015,上证红利,2423.2300,6.4500,6.5600,0.7900,8.1127,2.6090
2020-03-30,000015,上证红利,2399.8900,6.4100,6.4200,0.7800,8.1005,2.6142
2020-03-31,000015,上证红利,2396.4400,6.3300,6.3200,0.7700,8.1742,2.5899
2020-04-01,000015,上证红利,2379.5900,6.3200,6.3100,0.7700,8.2116,2.5550
2020-04-02,000015,上证红利,2413.1400,6.3700,6.3600,0.7700,8.1495,2.5854
2020-04-03,000015,上证红利,2399.9100,6.3400,6.3200,0.7700,8.1867,2.5965
2020-04-07,000015,上证红利,2436.5000,6.3900,6.3700,0.7800,8.1249,2.5112
2020-04-08,000015,上证红利,2432.9300,6.3600,6.3400,0.7700,8.1495,2.4824
2020-04-09,000015,上证红利,2439.1600,6.3600,6.3400,0.7700,8.1742,2.5226
2020-04-10,000015,上证红利,2414.7400,6.3400,6.3200,0.7700,8.1991,2.5403
2020-04-13,000015,上证红利,2408.8400,6.3300,6.3200,0.7700,8.1991,2.5658
2020-04-14,000015,上证红利,2433.0500,6.3900,6.4100,0.7700,8.1372,2.5591
2020-04-15,000015,上证红利,2419.2500,6.3600,6.3900,0.7700,8.1742,2.5455
2020-04-16,000015,上证红利,2414.6000,6.3700,6.3600,0.7700,8.1619,2.5276
2020-04-17,000015,上证红利,2423.8200,6.4000,6.3900,0.7800,8.1127,2.5590
2020-04-20,000015,上证红利,2426.4500,6.3800,6.3700,0.7700,8.1372,2.5920
2020-04-21,000015,上证红利,2405.9600,6.3300,6.3200,0.7700,8.1991,2.5791
